type,format,interface,released,released_normalized,max_capacity_GB,controller,dram
MLC,Add-In Card,PCIe 3.0 x4,Jun-14,6/1/2014,400,CH29AE41AB0,Unknown
MLC,"2.5""",SATA 6 Gbps,Jun-14,6/1/2014,800,Samsung MDX,1024 MB
MLC,"2.5""",SATA 6 Gbps,Jan-15,1/1/2015,800,PC29AS21CA0,1024 MB
MLC,"2.5""",SATA 6 Gbps,Jun-16,6/1/2016,960,SH87810AA,Unknown
MLC,U.2,PCIe 3.0 x4,Jul-17,7/1/2017,2300,89HF16P04CG3,2304 MB
MLC,U.2,PCIe 3.0 x4,Jul-17,7/1/2017,3000,89HF16P04CG3,4608 MB
TLC,"2.5""",SATA 6 Gbps,Jan-18,1/1/2018,7500,Samsung MJX Maru,1024 MB
TLC,"2.5""",SATA 6 Gbps,Apr-18,4/1/2018,3800,Samsung MJX Maru,1024 MB
MLC,"2.5""",SATA 6 Gbps,Apr-18,4/1/2018,3800,Samsung MJX Maru,1024 MB
TLC,"2.5""",SATA 6 Gbps,May-18,5/1/2018,1900,88SS1074,1024 MB
QLC,"2.5""",SATA 6 Gbps,May-18,5/1/2018,7500,88SS1074,Unknown
MLC,Add-In Card,PCIe 3.0 x8,2018,7/2/2018,6000,EPIC,2048 MB
TLC,M.2 22110,PCIe 3.0 x4,Sep-18,9/1/2018,960,Samsung Phoenix,1536 MB
SLC,Add-In Card,PCIe 3.0 x4,Sep-18,9/1/2018,960,Samsung Phoenix,1536 MB
TLC,"2.5""",SATA 6 Gbps,Mar-19,3/1/2019,3800,Phison E12,1024 MB
TLC,"2.5""",SATA 6 Gbps,May-19,5/1/2019,7500,Phison S12,1024 MB
TLC,U.2,PCIe 3.0 x4,2019,7/2/2019,8000,88SS5000,12288 MB
TLC,U.2,PCIe 4.0 x4,Feb-20,2/1/2020,15000,88SS1132,Unknown
TLC,U.2,PCIe 3.0 x4,Mar-20,3/1/2020,7500,WD 20-82-10051-A0,Unknown
TLC,U.2,PCIe 3.0 x4,2020,7/2/2020,16000,88SS1098,Unknown
TLC,U.2,PCIe 3.0 x4,2020,7/2/2020,13000,88SS1098,Unknown
TLC,U.2,PCIe 3.0 x4,2020,7/2/2020,3800,88SS1098,5120 MB
TLC,M.2 22110,PCIe 4.0 x4,2020,7/2/2020,960,CNX-2670AA,1024 MB
TLC,U.2,PCIe 3.0 x4,2020,7/2/2020,7500,SH58800GG,2048 MB
TLC,Add-In Card,PCIe 3.0 x8,Dec-20,12/1/2020,6400,PM8607,9216 MB
pTLC (QLC),U.2,PCIe 4.0 x4,Dec-20,12/1/2020,7500,SLNBX,10240 MB
TLC,"2.5""",SATA 6 Gbps,Jan-21,1/1/2021,3800,Samsung MKX Metis,4096 MB
TLC,U.3,PCIe 4.0 x4,Feb-21,2/1/2021,7500,Samsung Elpis,Unknown
TLC,U.2,PCIe 4.0 x4,May-21,5/1/2021,7500,NVMe3108,Unknown
TLC,U.2,PCIe 3.0 x4,Jul-21,7/1/2021,7500,SM2270,2048 MB
SLC,U.2,PCIe 4.0 x4,2021,7/2/2021,1600,DP616,Unknown
TLC,U.2,PCIe 4.0 x4,2021,7/2/2021,7500,Aquarius,Unknown
TLC,U.2,PCIe 4.0 x4,2021,7/2/2021,6000,Aquarius,Unknown
SLC,U.3,PCIe 4.0 x4,Sep-21,9/1/2021,3000,TC58NC1132GTC,Unknown
TLC,U.3,PCIe 4.0 x4,Mar-22,3/1/2022,15000,9AC06,Unknown
TLC,U.2,PCIe 4.0 x4,2022,7/2/2022,15000,DP616,10240 MB
TLC,U.2,PCIe 4.0 x4,2022,7/2/2022,3800,Phoenix 8020,Unknown
TLC,"2.5""",SAS 24 Gbps,2022,7/2/2022,31000,Samsung RGX,Unknown
TLC,U.3,PCIe 4.0 x4,2022,7/2/2022,7500,Phison X1 (E20),2048 MB
TLC,U.2,PCIe 4.0 x4,2022,7/2/2022,7500,Phoenix 8020,Unknown
TLC,U.2,PCIe 4.0 x4,2022,7/2/2022,6000,Phoenix 8020,Unknown
TLC,"2.5""",SATA 6 Gbps,Aug-22,8/1/2022,7500,Samsung MKX Metis,Unknown
TLC,U.2,PCIe 4.0 x4,Aug-22,8/1/2022,13000,Phison X1 (E20),Unknown
TLC,U.2,PCIe 5.0 x4,Oct-22,10/1/2022,15000,Samsung ELAN,Unknown
TLC,U.2,PCIe 4.0 x4,Jan-23,1/1/2023,6000,NVMe3108,Unknown
TLC,U.2,PCIe 4.0 x4,Jan-23,1/1/2023,7500,NVMe3108,Unknown
TLC,U.3,PCIe 4.0 x4,Jan-23,1/1/2023,26000,NVMe 3016,18432 MB
TLC,U.3,PCIe 4.0 x4,Jan-23,1/1/2023,31000,NVMe 3016,Unknown
TLC,"2.5""",SATA 6 Gbps,May-23,5/1/2023,7500,Phison S12DC,2048 MB
pQLC (PLC),U.2,PCIe 4.0 x4,May-23,5/1/2023,15000,Unknown,20480 MB
pQLC (PLC),U.2,PCIe 4.0 x4,Jul-23,7/1/2023,61000,SLNQG,Unknown
TLC,U.2,PCIe 5.0 x4,2023,7/2/2023,6000,Bravera,Unknown
TLC,U.2,PCIe 4.0 x4,2023,7/2/2023,7500,Phoenix 8020,Unknown
TLC,U.2,PCIe 5.0 x4,Aug-23,8/1/2023,15000,Bravera,5120 MB
TLC,U.2,PCIe 5.0 x4,Aug-23,8/1/2023,13000,Bravera,5120 MB
TLC,U.2,PCIe 5.0 x4,Aug-23,8/1/2023,31000,Bravera,Unknown
pSLC,U.2,PCIe 4.0 x4,Sep-23,9/1/2023,800,SLNBX,Unknown
TLC,U.2,PCIe 5.0 x4,Mar-24,3/1/2024,26000,Phison X2,Unknown
TLC,U.2,PCIe 5.0 x4,Mar-24,3/1/2024,31000,Phison X2,Unknown
QLC,U.2,PCIe 5.0 x4,Jul-24,7/1/2024,61000,Samsung ELAN,Unknown
TLC,M.2 2280,PCIe 4.0 x4,Aug-24,8/1/2024,960,Phison E18DC,Unknown
TLC,U.2,PCIe 5.0 x4,Aug-24,8/1/2024,15000,FX5016,Unknown
TLC,U.2,PCIe 5.0 x4,Aug-24,8/1/2024,13000,FX5016,Unknown
TLC,U.2,PCIe 5.0 x4,Aug-24,8/1/2024,15000,Atomos Prime,Unknown
TLC,U.2,PCIe 5.0 x4,Aug-24,8/1/2024,13000,Atomos Prime,Unknown
